Date,Open,High,Low,Close,Adj Close,Volume,Day
2019-01-09,270.130005,272.220001,269.130005,270.540009,243.19075,1235900,221
2019-01-10,269.619995,277.679993,269.5,277.5,249.447189,1842500,222
2019-01-11,275.790009,277.76001,272.429993,277.730011,249.653915,1157800,223
2019-01-14,276.670013,279.519989,274.429993,277.51001,249.456146,1388600,224
2019-01-15,278.230011,278.329987,273.51001,276,248.098785,1193500,225
2019-01-16,275.399994,275.690002,270.630005,272.390015,244.85376,1324900,226
2019-01-17,271.170013,279.98999,270.839996,278.799988,250.615692,1242000,227
2019-01-18,281.179993,285.369995,279.720001,282.869995,254.274353,2073500,228
2019-01-22,281.390015,284.619995,278,279.589996,251.325867,1885100,229
2019-01-23,282.109985,285.730011,280.5,283.51001,254.849701,1631000,230
2019-01-24,284.589996,288.23999,282.589996,285.25,256.413696,1017500,231
2019-01-25,288.170013,289.299988,286.130005,287.040009,258.022766,1050400,232
2019-01-28,285,288.410004,282.890015,287.869995,258.768829,1166400,233
2019-01-29,281.109985,292.859985,281,292.049988,262.526306,2037300,234
2019-01-30,293.950012,293.98999,286.769989,291.670013,262.184692,1781800,235
2019-01-31,290.170013,292.829987,287.790009,289.690002,260.404877,1311100,236
2019-02-01,290.850006,292.579987,289.200012,290.579987,261.204865,1358900,237
2019-02-04,290.899994,299.059998,290.109985,298.769989,268.566986,1328900,238
2019-02-05,300,302.980011,297.230011,299.459991,269.187256,1454800,239
2019-02-06,299.98999,302.679993,299.01001,299.829987,269.519806,1114300,240
2019-02-07,298.790009,300.359985,296.140015,300.130005,269.78949,1150100,241
2019-02-08,299.220001,301.630005,297,301.5,271.020935,1021600,242
2019-02-11,301.779999,302.75,298.799988,300.040009,269.708588,1077900,243
2019-02-12,301.470001,304.320007,300.859985,304.109985,273.367126,840600,244
2019-02-13,305,305.950012,303.679993,304.420013,273.645844,958500,245
2019-02-14,303.359985,304,300.910004,301,270.571503,888200,246
2019-02-15,304.01001,307.329987,304.01001,307.230011,276.171692,847700,247
2019-02-19,305.970001,306.589996,303.76001,305.179993,274.328918,929500,248
2019-02-20,305,307.200012,304.290009,307.200012,276.144775,870600,249
2019-02-21,307.059998,307.170013,303.279999,304.51001,273.726654,1045000,250
2019-02-22,305.910004,307.359985,303.899994,307.130005,276.081879,581800,251
2019-02-25,308.890015,309.399994,305.549988,305.970001,275.039093,1088000,252
2019-02-26,305.600006,308.079987,305.01001,305.880005,274.95813,871600,253
2019-02-27,305.019989,307.940002,304.109985,307.579987,276.486359,1121300,254
2019-02-28,307.440002,311.75,306.119995,309.410004,280.135071,1839100,255
2019-03-01,311.559998,311.559998,306.440002,309.470001,280.189392,1424900,256
2019-03-04,311.779999,311.779999,303.480011,304.690002,275.861633,1070900,257
2019-03-05,306.01001,307.220001,304.220001,305.76001,276.830383,907600,258
2019-03-06,306.480011,308.350006,303.320007,303.320007,274.621277,879200,259
